Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2022-11-28 13:01:40,"Back/Legs",1h 14m,"Iso-Lateral Row (Machine)",2,70.0,12,0,0,,,
2022-11-28 13:01:40,"Back/Legs",1h 14m,"Iso-Lateral Row (Machine)",3,80.0,12,0,0,,,
2022-11-28 13:01:40,"Back/Legs",1h 14m,"Iso-Lateral Row (Machine)",4,90.0,12,0,0,,,
2022-11-28 13:01:40,"Back/Legs",1h 14m,"Standing Calf Raise (Machine)",1,22.6796185,12,0,0,"",,
2022-11-28 13:01:40,"Back/Legs",1h 14m,"Standing Calf Raise (Machine)",2,22.6796185,12,0,0,,,
2022-11-28 13:01:40,"Back/Legs",1h 14m,"Standing Calf Raise (Machine)",3,22.6796185,12,0,0,,,
2022-11-28 13:01:40,"Back/Legs",1h 14m,"Standing Calf Raise (Machine)",4,27.2155422,12,0,0,,,
2022-11-28 13:01:40,"Back/Legs",1h 14m,"Lat Pulldown (Cable)",1,40.0,12,0,0,"",,
2022-11-28 13:01:40,"Back/Legs",1h 14m,"Lat Pulldown (Cable)",2,50.0,12,0,0,,,
2022-11-28 13:01:40,"Back/Legs",1h 14m,"Lat Pulldown (Cable)",3,60.0,12,0,0,,,
2022-11-28 13:01:40,"Back/Legs",1h 14m,"Lat Pulldown (Cable)",4,70.0,12,0,0,,,
2022-11-28 13:01:40,"Back/Legs",1h 14m,"Bent Over Row - Underhand (Barbell)",1,115.0,12,0,0,"",,
2022-11-28 13:01:40,"Back/Legs",1h 14m,"Bent Over Row - Underhand (Barbell)",2,115.0,12,0,0,,,
2022-11-28 13:01:40,"Back/Legs",1h 14m,"Bent Over Row - Underhand (Barbell)",3,115.0,12,0,0,,,
2022-11-28 13:01:40,"Back/Legs",1h 14m,"Bent Over Row - Underhand (Barbell)",4,115.0,12,0,0,,,
2022-11-28 13:01:40,"Back/Legs",1h 14m,"Leg Press",1,180.0,10,0,0,"",,
2022-11-28 13:01:40,"Back/Legs",1h 14m,"Leg Press",2,180.0,10,0,0,,,
2022-11-28 13:01:40,"Back/Legs",1h 14m,"Leg Press",3,180.0,10,0,0,,,
2022-11-28 13:01:40,"Back/Legs",1h 14m,"Leg Press",4,90.0,20,0,0,,,
2022-11-28 13:01:40,"Back/Legs",1h 14m,"Leg Press",5,90.0,20,0,0,,,
2022-11-28 13:01:40,"Back/Legs",1h 14m,"Leg Press",6,90.0,20,0,0,,,
2022-11-29 13:09:55,"Chest",58m,"Bench Press (Barbell)",1,135.0,12,0,0,"","",
2022-11-29 13:09:55,"Chest",58m,"Bench Press (Barbell)",2,135.0,12,0,0,,,
2022-11-29 13:09:55,"Chest",58m,"Bench Press (Barbell)",3,135.0,12,0,0,,,
2022-11-29 13:09:55,"Chest",58m,"Bench Press (Barbell)",4,135.0,10,0,0,,,
2022-11-29 13:09:55,"Chest",58m,"Decline Bench Press (Barbell)",1,115.0,12,0,0,"",,
2022-11-29 13:09:55,"Chest",58m,"Decline Bench Press (Barbell)",2,115.0,12,0,0,,,
2022-11-29 13:09:55,"Chest",58m,"Decline Bench Press (Barbell)",3,115.0,12,0,0,,,
2022-11-29 13:09:55,"Chest",58m,"Decline Bench Press (Barbell)",4,115.0,12,0,0,,,
2022-11-29 13:09:55,"Chest",58m,"Incline Bench Press (Barbell)",1,115.0,12,0,0,"",,
2022-11-29 13:09:55,"Chest",58m,"Incline Bench Press (Barbell)",2,115.0,12,0,0,,,
2022-11-29 13:09:55,"Chest",58m,"Incline Bench Press (Barbell)",3,115.0,12,0,0,,,
2022-11-29 13:09:55,"Chest",58m,"Incline Bench Press (Barbell)",4,115.0,12,0,0,,,
2022-11-29 13:09:55,"Chest",58m,"Chest Fly",1,130.0,12,0,0,"",,
2022-11-29 13:09:55,"Chest",58m,"Chest Fly",2,140.0,12,0,0,,,
2022-11-29 13:09:55,"Chest",58m,"Chest Fly",3,149.99999999999997,12,0,0,,,
2022-11-29 13:09:55,"Chest",58m,"Chest Fly",4,160.0,12,0,0,,,
2022-11-29 13:09:55,"Chest",58m,"Chest Fly (Band)",1,60.0,8,0,0,"",,
2022-11-29 13:09:55,"Chest",58m,"Chest Fly (Band)",2,40.0,8,0,0,,,
2022-11-29 13:09:55,"Chest",58m,"Chest Fly (Band)",3,20.0,12,0,0,,,
2022-11-29 13:09:55,"Chest",58m,"Chest Fly (Band)",4,40.0,8,0,0,,,
2022-11-29 13:09:55,"Chest",58m,"Chest Dip",1,90.718474,10,0,0,"",,
2022-11-29 13:09:55,"Chest",58m,"Chest Dip",2,90.718474,8,0,0,,,
2022-11-29 13:09:55,"Chest",58m,"Chest Dip",3,90.718474,7,0,0,,,
2022-11-29 13:09:55,"Chest",58m,"Chest Dip",4,90.718474,6,0,0,,,
2022-12-01 14:28:37,"Evening Workout",31m,"Seated Overhead Press (Barbell)",1,95.0,12,0,0,"","",
2022-12-01 14:28:37,"Evening Workout",31m,"Seated Overhead Press (Barbell)",2,95.0,12,0,0,,,
2022-12-01 14:28:37,"Evening Workout",31m,"Seated Overhead Press (Barbell)",3,95.0,12,0,0,,,
2022-12-01 14:28:37,"Evening Workout",31m,"Seated Overhead Press (Barbell)",4,95.0,12,0,0,,,
2022-12-01 14:28:37,"Evening Workout",31m,"Shrug (Barbell)",1,135.0,10,0,0,"",,
2022-12-01 14:28:37,"Evening Workout",31m,"Shrug (Barbell)",2,155.0,10,0,0,,,
2022-12-01 14:28:37,"Evening Workout",31m,"Shrug (Barbell)",3,155.0,10,0,0,,,
2022-12-01 14:28:37,"Evening Workout",31m,"Shrug (Barbell)",4,205.0,9,0,0,,,
2022-12-01 14:28:37,"Evening Workout",31m,"Front Raise (Plate)",1,45.0,6,0,0,"",,
2022-12-01 14:28:37,"Evening Workout",31m,"Front Raise (Plate)",2,35.0,12,0,0,,,
2022-12-01 14:28:37,"Evening Workout",31m,"Front Raise (Plate)",3,35.0,12,0,0,,,
2022-12-01 14:28:37,"Evening Workout",31m,"Front Raise (Plate)",4,35.0,12,0,0,,,
2022-12-05 13:49:25,"Back/Legs",1h 12m,"Squat (Barbell)",1,135.0,12,0,0,"","",
2022-12-05 13:49:25,"Back/Legs",1h 12m,"Squat (Barbell)",2,135.0,12,0,0,,,
2022-12-05 13:49:25,"Back/Legs",1h 12m,"Squat (Barbell)",3,135.0,12,0,0,,,
2022-12-05 13:49:25,"Back/Legs",1h 12m,"Squat (Barbell)",4,135.0,12,0,0,,,
